Episode,Avg Reward,Steps,Total Reward
497,-0.8712273641851107,42,-433
498,-0.8714859437751004,37,-434
499,-0.8717434869739479,6,-435
500,-0.868,47,-434
501,-0.8682634730538922,17,-435
502,-0.8685258964143426,33,-436
503,-0.8687872763419483,8,-437
504,-0.8650793650793651,97,-436
505,-0.8613861386138614,58,-435
506,-0.8616600790513834,17,-436
507,-0.8619329388560157,26,-437
508,-0.8622047244094488,5,-438
509,-0.862475442043222,24,-439
510,-0.8588235294117647,41,-438
511,-0.8551859099804305,53,-437
512,-0.85546875,36,-438
513,-0.8557504873294347,20,-439
514,-0.8521400778210116,33,-438
515,-0.8524271844660194,89,-439
516,-0.8507751937984496,100,-439
517,-0.851063829787234,83,-440
518,-0.8513513513513513,9,-441
519,-0.8477842003853564,34,-440
520,-0.8480769230769231,31,-441
521,-0.8445297504798465,30,-440
522,-0.8448275862068966,7,-441
523,-0.8451242829827916,11,-442
524,-0.8454198473282443,22,-443
525,-0.8457142857142858,8,-444
526,-0.8460076045627376,18,-445
527,-0.8444022770398482,100,-445
528,-0.8446969696969697,45,-446
529,-0.8449905482041588,41,-447
530,-0.8452830188679246,1,-448
531,-0.8418079096045198,25,-447
532,-0.8421052631578947,83,-448
533,-0.8424015009380863,18,-449
534,-0.8426966292134831,32,-450
535,-0.8429906542056075,10,-451
536,-0.8432835820895522,19,-452
537,-0.8435754189944135,42,-453
538,-0.8438661710037175,49,-454
539,-0.8441558441558441,1,-455
540,-0.8407407407407408,40,-454
541,-0.8373382624768947,26,-453
542,-0.8376383763837638,16,-454
543,-0.8342541436464088,25,-453
544,-0.8345588235294118,2,-454
545,-0.8348623853211009,5,-455
546,-0.8315018315018315,22,-454
547,-0.8281535648994516,42,-453
548,-0.8248175182481752,25,-452
549,-0.825136612021858,1,-453
550,-0.8254545454545454,27,-454
551,-0.8257713248638838,3,-455
552,-0.8260869565217391,21,-456
553,-0.8264014466546112,10,-457
554,-0.8267148014440433,4,-458
555,-0.8252252252252252,100,-458
556,-0.8255395683453237,17,-459
557,-0.8258527827648114,5,-460
558,-0.8261648745519713,1,-461
559,-0.8264758497316637,2,-462
560,-0.8232142857142857,34,-461
561,-0.8235294117647058,23,-462
562,-0.8238434163701067,60,-463
563,-0.8241563055062167,37,-464
564,-0.824468085106383,46,-465
565,-0.8247787610619469,2,-466
566,-0.8250883392226148,34,-467
567,-0.8253968253968254,96,-468
568,-0.8257042253521126,6,-469
569,-0.8260105448154658,42,-470
570,-0.8263157894736842,7,-471
571,-0.8266199649737302,87,-472
572,-0.8269230769230769,14,-473
573,-0.8272251308900523,24,-474
574,-0.8257839721254355,100,-474
575,-0.8243478260869566,100,-474
576,-0.8246527777777778,20,-475
577,-0.8249566724436742,13,-476
578,-0.8252595155709342,11,-477
579,-0.8255613126079447,14,-478
580,-0.8258620689655173,17,-479
581,-0.8261617900172117,1,-480
582,-0.8264604810996563,73,-481
583,-0.823327615780446,38,-480
584,-0.8236301369863014,10,-481
585,-0.8239316239316239,41,-482
586,-0.8208191126279863,26,-481
587,-0.8211243611584327,1,-482
588,-0.8214285714285714,23,-483
589,-0.8217317487266553,26,-484
590,-0.8186440677966101,27,-483
591,-0.8155668358714044,27,-482
592,-0.8158783783783784,19,-483
593,-0.8161888701517707,13,-484
594,-0.8131313131313131,31,-483
595,-0.8134453781512605,3,-484
596,-0.8137583892617449,17,-485
597,-0.8140703517587939,48,-486
598,-0.81438127090301,26,-487
599,-0.8146911519198664,22,-488
600,-0.815,21,-489
601,-0.8136439267886856,100,-489
602,-0.813953488372093,9,-490
603,-0.8126036484245439,100,-490
604,-0.8096026490066225,88,-489
605,-0.8099173553719008,17,-490
606,-0.8102310231023102,9,-491
607,-0.8072487644151565,49,-490
608,-0.8075657894736842,29,-491
609,-0.8045977011494253,38,-490
610,-0.8049180327868852,9,-491
611,-0.8052373158756138,3,-492
612,-0.8055555555555556,1,-493
613,-0.8058727569331158,1,-494
614,-0.8061889250814332,10,-495
615,-0.8032520325203252,48,-494
616,-0.8003246753246753,39,-493
617,-0.7974068071312804,33,-492
618,-0.7977346278317152,47,-493
619,-0.7980613893376414,49,-494
620,-0.7983870967741935,3,-495
621,-0.7954911433172303,24,-494
622,-0.7958199356913184,26,-495
623,-0.7945425361155698,100,-495
624,-0.7916666666666666,71,-494
625,-0.792,12,-495
626,-0.7891373801916933,41,-494
627,-0.7862838915470495,44,-493
628,-0.7866242038216561,32,-494
629,-0.7869634340222575,12,-495
630,-0.7873015873015873,15,-496
631,-0.7876386687797148,43,-497
632,-0.7879746835443038,35,-498
633,-0.7883096366508688,43,-499
634,-0.7886435331230284,11,-500
635,-0.7858267716535433,34,-499
636,-0.7830188679245284,36,-498
637,-0.783359497645212,27,-499
638,-0.7836990595611285,12,-500
639,-0.7809076682316118,28,-499
640,-0.78125,3,-500
641,-0.7784711388455539,32,-499
642,-0.778816199376947,52,-500
643,-0.776049766718507,27,-499
644,-0.7732919254658385,36,-498
645,-0.7736434108527132,90,-499
646,-0.7739938080495357,6,-500
647,-0.7743431221020093,30,-501
648,-0.7746913580246914,10,-502
649,-0.7750385208012327,11,-503
650,-0.7723076923076924,30,-502
651,-0.7726574500768049,3,-503
652,-0.7730061349693251,5,-504
653,-0.7733537519142419,32,-505
654,-0.7706422018348624,69,-504
655,-0.7709923664122137,35,-505
656,-0.7713414634146342,44,-506
657,-0.7701674277016742,100,-506
658,-0.7689969604863222,100,-506
659,-0.7693474962063733,14,-507
660,-0.7696969696969697,17,-508
661,-0.7700453857791225,15,-509
662,-0.770392749244713,57,-510
663,-0.770739064856712,3,-511
664,-0.7710843373493976,2,-512
665,-0.7684210526315789,48,-511
666,-0.7687687687687688,6,-512
667,-0.7691154422788605,20,-513
668,-0.7694610778443114,40,-514
669,-0.7668161434977578,76,-513
670,-0.7656716417910447,100,-513
671,-0.7660208643815202,33,-514
672,-0.7663690476190477,22,-515
673,-0.763744427934621,49,-514
674,-0.7611275964391692,48,-513
675,-0.7614814814814815,44,-514
676,-0.7618343195266272,6,-515
677,-0.7621861152141802,15,-516
678,-0.7595870206489675,66,-515
